DETAILED PROJECT REPORT (DPR) ACTIVITY SCHEDULE,,,,,,
,,,,,,
Sr No.,Activity Description ,Reference,Volume,Annexure,Status of activity,Estimated or Actual Date of Completion
,Preparation of Final Pavement design report ,-,-,-,-,-
,Finalisation of Lane Configuration and Preparation of Final TCS,-,-,-,-,-
,Prepare Final list of proposed strutures (incl. Nos. & Length of Bore reqd. Its Coordinate & RL for geo technical investigation ),-,-,-,-,-
,"Preparation layout drawing for new alignment showing Existing & Proposed ROW, (Including Proposed structures, Location of Bus bay with shelter, Truck lay bay, Toll plaza, Overtaking zone, Junction improvement)",-,-,-,-,-
,Profile Design on Proposed new alignement,-,-,-,-,-
,Hydraulic & Hydrological Investigation for proposed structures,-,-,-,-,-
,"Workout Final FRL, Span and Type of Proposed Bridges & Structures ",-,-,-,-,-
,Final Profile Design of Proposed new alignement (If FRL revised due to Design Discharge),-,-,-,-,-
,Geo Technical Investigation and sub soil Exploration at proposed structures,-,-,-,-,-
,Verification of Bore details On site / Office ,-,-,-,-,-
,Work out Size of footing (MNB/MJB/ROB etc) & Design SBC of proposed structures,-,-,-,-,-
,Report on Geo Technical Investigation and sub soil Exploration,-,-,-,-,-
,Preparation of GAD of Proposed structures,-,-,-,-,-
,Preparation or Submission of EIRR report,-,-,-,-,-
,Preparation or Submission of FIRR report,-,-,-,-,-
►,Main Report,,,,,
,Submission of Main Report,-,Volume - 1,-,-,-
►,"Detail Design of Road, Pavements, Bridges and Structures.",,,,,
,Design of Embankment,-,Volume - 2,-,-,-
,Design of Bridges and Structures,,,,-,-
,Design of Drainage system,,,,-,-
,"Traffic Safety Features, Road Furniture and Road Markings",,,,-,-
,Arboriculture and Landscaping,,,,-,-
,Toll Plaza,,,,-,-
,"Weighing Station, Parking Areas and Rest Areas",,,,-,-
,Office-cum-Residential Complex for PIU,,,,-,-
,Submission of Design Report,,,,-,-
►,Material Report,,,,,
,Submission of Material Report,-,Volume - 3,-,-,-
►,Environmental & Social Impact Assessment,,,,,
,Environmental Assessment Report including Environmental management Plan (EMP),-,Volume - 4,-,-,-
,Resettlement Action Plan (RAP),,,,-,-
,Social Assessment,,,,-,-
►,Technical Specifications,,,,,
,Submission of Item wise Techincal Specification,-,Volume - 5,-,-,-
►,Estimation of Quantities and Project Costs,,,,,
,Rate Analysis,-,,-,-,-
,Cost Estimates ,-,,-,-,-
,Bills of Quantities (BOQ),-,,-,-,-
►,Drawings,,,,,
,Submission seprate volume of drawings,-,Volume - 6,-,-,-
►,Submission & Approval DPR,,,,,
,Submission of Draft DPR,-,-,-,-,-
,RA Bill (On Submission of Draft DPR),-,-,-,-,-
,Approval of Draft DPR,-,-,-,-,-
,Preparation of Final DPR,-,-,-,-,-
,Submission of Final DPR,-,-,-,-,-
,RA Bill (On Submission of Final DPR),-,-,-,-,-
,Approval of Final DPR,-,-,-,-,-
5,Draft / Final LA & Clearance I Report,,,,,"(Approved By: CE, PWD / CE, BRO in Consulation with RO,MoRT&H)"
►,Data Collections,,,,,
,Collection of Maps & Collection of Land revenue records etc.,,,,,
,Collection of Reserved Forest Survey nos. and Protected Forest Chainage from concern DCF office ,,,,,
►,Submission & Approval,,,,,
,Preparation & Submission of LA & Clearance I Report,,Volume - 1,,,
,Preparation & Submission of Strip Plan / LA Plan,,Volume - 2,,,
,Preparation & Submission of Utility relocation plan ,IRC:98,,,,
,Approval of LA & Clearance I Report,,,,,
►,Clearnace Proposal,,,,,
,"Preparation  & Submission of of Clearance proposals for which we seeks approvals (e.g. Utilities, Forest, WL, EFZ, ESZ, CRZ, ENV, Railway, irrigation & Other Dept. etc....)",,,,,
,RA Bill (On Submission of Clearance proposal),,,,,
6,Draft / Final Technical Schedule,,,,,"(Approved By: CE, PWD / CE, BRO in Consulation with RO,MoRT&H)"
►,Civil Work Contract Agreement,,,,,
,Preparation & Submission of EPC Agreement / BOT Agreement / HAM Agreement,,,,,
,Preparation & Submission of Technical Schedule,,,,,
,Aprroval of EPC Document incl. Technical Schedule,,,,,
,RA Bill (On Aprroval of EPC Document incl. Technical Schedule),,,,,
7,"Draft / Final LA & Clearance II, III & IV Report",,,,,"(Approved By: AS/ADG/CE-cordinator, MoRT&H)"
►,Land Acquisition,,,,,
,Lisening for Appointment of CALA,,,,,
,Publication of 3(a) Notification in Gazette ,,,,,
,Joint Site Visit (PIA (MoRT&H)-Public Implementing Agency  / PD (NHAI)-Project Director With DPR Consultant & Client) incl. Photograph of Existing structures condition on Proposed Alignment,,,,,
,Publication of 3(A) Notification in Gazette ,,,,,
,3(B) Notification - Power to enter for survey,,,,,
,Fixing of Boundary pillar for PROW marking & Centre line marking,,,,,
,Joint measurement survey with DILR officials,,,,,
,Appointment of Govt. valuer for Valuation of existing residential structure /Well etc need to be demolish,,,,,
,3.C Land Holders Represent therir case infront of  CALA within 21 Days of Publication of 3a & 3A in Gazatte,,,,,
,Report given by CALA to Central Govt. (Through Proper channel) for issuance of 3D,,,,,
,Publication of 3D Notification,,,,,
,RA Bill (On Publication of 3D Notification),,,,,
,3(G) Notification -Determination of Amount payable as compensation and Call Land Holder for Account no. & Land Holdindg authentication,,LA III Report,,,
,3(H)- Central Govt. deposite Compensation amount to CALA,,,,,
,"3(E)- Power to take possesion
Within 60Days of Issuance of 3(E) Land owner deliver possession of land to CALA",,LA IV Report,,,
►,Submission & Approval,,,,,
,Preparation & submission of Draft LA Report,,,,,
,Submission of Estimated Cost of Land Acquisition,,,,,
,Approval of Draft LA Report,,,,,
,Approval of Estimated costs of Land acquisition,,,,,
,"Preparation & Submission of Final LA report incl. Gazette Notification of 3a, 3A & 3D",,,,,
,Preparation & Submission of Final Estimated costs of land acquisition ,,,,,
,RA Bill (On Submission of Final LA Report),,,,,
►,Forest / Wild life Clearance / CRZ / ESZ / EFZ ,,,,,
,Online applications,,,,,
